token,symbol,name
17022,MAWANASUG-EQ,MAWANASUG
2412,PEL-EQ,PEL
12092,KAYNES-EQ,KAYNES
14764,071NSETEST-EQ,071NSETEST
19646,MAXESTATES-EQ,MAXESTATES
1338,SDBL-EQ,SDBL
14398,AMDIND-EQ,AMDIND
13276,LANDMARK-EQ,LANDMARK
2636,DIVOPPBEES-EQ,DIVOPPBEES
11932,FUSION-EQ,FUSION
1142,GINNIFILA-EQ,GINNIFILA
592,GRAPHITE-EQ,GRAPHITE
7030,ASIANENE-EQ,ASIANENE
2112,MARALOVER-EQ,MARALOVER
15136,KAUSHALYA-EQ,KAUSHALYA
13436,LOKESHMACH-EQ,LOKESHMACH
19410,ROSSARI-EQ,ROSSARI
19235,IMFA-EQ,IMFA
22423,TOTAL-EQ,TOTAL
7053,ACCELYA-EQ,ACCELYA
17927,BAYERCROP-EQ,BAYERCROP
22730,VSTL-EQ,VSTL
13702,VISHWARAJ-EQ,VISHWARAJ
6353,NIFTYETF-EQ,NIFTYETF
8944,RITCO-EQ,RITCO
708,SHRADHA-EQ,SHRADHA
527,UTIAMC-EQ,UTIAMC
2106,MANGLMCEM-EQ,MANGLMCEM
19679,GOLDIETF-EQ,GOLDIETF
9436,AXISCADES-EQ,AXISCADES
18581,KIRLOSBROS-EQ,KIRLOSBROS
15308,SEPC-EQ,SEPC
11543,COFORGE-EQ,COFORGE
19877,RADIOCITY-EQ,RADIOCITY
10511,UTINIFTETF-EQ,UTINIFTETF
2841,LXCHEM-EQ,LXCHEM
11606,GUFICBIO-EQ,GUFICBIO
21808,SBILIFE-EQ,SBILIFE
10397,JISLJALEQS-EQ,JISLJALEQS
7886,MHLXMIRU-EQ,MHLXMIRU
11705,XCHANGING-EQ,XCHANGING
4822,DODLA-EQ,DODLA
21252,AXISNIFTY-EQ,AXISNIFTY
11065,NATHBIOGEN-EQ,NATHBIOGEN
20531,BAJEL-EQ,BAJEL
13496,PFOCUS-EQ,PFOCUS
1937,KREBSBIO-EQ,KREBSBIO
15179,ECLERX-EQ,ECLERX
3411,TATAELXSI-EQ,TATAELXSI
13139,EBBETF0433-EQ,EBBETF0433
21399,GANGESSECU-EQ,GANGESSECU
23043,RKSWAMY-EQ,RKSWAMY
14236,HDFCMID150-EQ,HDFCMID150
6297,HEALTHY-EQ,HEALTHY
14584,PSUBNKIETF-EQ,PSUBNKIETF
2406,NEULANDLAB-EQ,NEULANDLAB
1145,GIPCL-EQ,GIPCL
10417,DYCL-EQ,DYCL
17851,DLINKINDIA-EQ,DLINKINDIA
17685,GPTINFRA-EQ,GPTINFRA
7229,HCLTECH-EQ,HCLTECH
14459,LEXUS-EQ,LEXUS
14747,011NSETEST-EQ,011NSETEST
6606,EQUAL50ADD-EQ,EQUAL50ADD
3908,PREMIERPOL-EQ,PREMIERPOL
8953,ELDEHSG-EQ,ELDEHSG
676,EXIDEIND-EQ,EXIDEIND
18359,SANDUMA-EQ,SANDUMA
7862,GEPIL-EQ,GEPIL
20080,EROSMEDIA-EQ,EROSMEDIA
14003,ZEEMEDIA-EQ,ZEEMEDIA
18967,KAPSTON-EQ,KAPSTON
4067,MARICO-EQ,MARICO
11868,63MOONS-EQ,63MOONS
11236,JSL-EQ,JSL
928,ELECTCAST-EQ,ELECTCAST
14627,HILTON-EQ,HILTON
15228,UJJIVANSFB-EQ,UJJIVANSFB
25017,BODALCHEM-EQ,BODALCHEM
30392,NIF100IETF-EQ,NIF100IETF
13816,LTFOODS-EQ,LTFOODS
3857,VARROC-EQ,VARROC
11979,HTMEDIA-EQ,HTMEDIA
13082,KOTAKSILVE-EQ,KOTAKSILVE
4279,DENORA-EQ,DENORA
1547,RKEC-EQ,RKEC
3787,WIPRO-EQ,WIPRO
637,CHAMBLFERT-EQ,CHAMBLFERT
7679,MONARCH-EQ,MONARCH
17971,SBICARD-EQ,SBICARD
1085,GABRIEL-EQ,GABRIEL
11471,EXCELINDUS-EQ,EXCELINDUS
6051,CYBERTECH-EQ,CYBERTECH
11582,TRACXN-EQ,TRACXN
13111,ORIENTCER-EQ,ORIENTCER
6216,CAMLINFINE-EQ,CAMLINFINE
6545,NYKAA-EQ,NYKAA
3345,SUNDRMFAST-EQ,SUNDRMFAST
9309,STLTECH-EQ,STLTECH
3724,VSTIND-EQ,VSTIND
8054,KTKBANK-EQ,KTKBANK
13270,JKCEMENT-EQ,JKCEMENT
10822,MOQUALITY-EQ,MOQUALITY
17186,SHRIPISTON-EQ,SHRIPISTON
715,HEUBACHIND-EQ,HEUBACHIND
21469,OPTIEMUS-EQ,OPTIEMUS
21551,SMSLIFE-EQ,SMSLIFE
11287,UPL-EQ,UPL
17071,URAVI-EQ,URAVI
10590,LOYALTEX-EQ,LOYALTEX
13786,TORNTPOWER-EQ,TORNTPOWER
28906,MAYURUNIQ-EQ,MAYURUNIQ
14917,TAKE-EQ,TAKE
14418,ASTRAL-EQ,ASTRAL
1835,KANORICHEM-EQ,KANORICHEM
2514,OSWALAGRO-EQ,OSWALAGRO
5851,BANKNIFTY1-EQ,BANKNIFTY1
8736,PNBGILTS-EQ,PNBGILTS
8827,AVROIND-EQ,AVROIND
20453,APCL-EQ,APCL
9480,LICI-EQ,LICI
