Action,Date,Price,Quantity,Capital,Company Index
Buy,2024-06-04,2496.3,11,30000.0,22
Sell (Updated Stop Loss),2024-06-06,2546.226,11,30460.04456869594,22
Buy,2024-06-07,242.28,124,30460.04456869594,49
Sell (DEMA Condition),2024-07-05,267.55,124,33495.727368542735,49
Buy,2024-07-09,12827.7,1,33495.727368542735,32
Sell (Updated Stop Loss),2024-08-02,13084.254,1,33696.1452303914,32
Buy,2024-08-09,6275.35,4,33696.1452303914,95
Sell (DEMA Condition),2024-08-26,6925.6,4,36210.9786988934,95
Buy,2024-08-27,536.45,66,36210.9786988934,83
Sell (Updated Stop Loss),2024-09-02,547.1790000000001,66,36812.02614241446,83
Buy,2024-09-04,445.1,81,36812.02614241446,122
Sell (Updated Stop Loss),2024-09-11,415.3055,81,34293.64494491616,122
Buy,2024-09-20,2950.85,10,34293.64494491616,31
Sell (DEMA Condition),2024-10-01,3165.5,10,36344.64305283116,31
Buy,2024-10-09,5989.75,5,36344.64305283116,13
Sell (Updated Stop Loss),2024-10-15,6109.545,5,36848.86103423391,13
Buy,2024-10-17,3080.2,10,36848.86103423391,134
Sell (Updated Stop Loss),2024-10-31,2858.59,10,34539.24197242491,134
Buy,2024-11-05,999.5,33,34539.24197242491,27
Sell (Max Holding Period),2024-12-06,1003.8,33,34580.117502705914,27
Buy,2024-12-11,164.91,208,34580.117502705914,75
Sell (Updated Stop Loss),2024-12-19,151.8535,208,31763.589045344233,75
Buy,2025-01-02,7389.2,3,31763.589045344233,6
Sell (Max Holding Period),2025-02-04,8475.35,3,34941.69074045274,6
Buy,2025-02-07,844.55,40,34941.69074045274,78
Sell (Updated Stop Loss),2025-02-24,861.4409999999999,40,35513.92685206834,78
Buy,2025-02-25,497.8,70,35513.92685206834,53
Sell (Updated Stop Loss),2025-03-11,507.75600000000003,70,36105.042841215145,53
Buy,2025-03-19,3188.85,10,36105.042841215145,116

Final Capital:,4216.542841215145
Final Profit Percentage:,-85.94485719594952
Maximum Profit:,3258.4500000000044
Maximum Loss:,-2715.7520000000004
Accuracy:,78.57142857142857
Maximum Drawdown:,13.800350529600564
