name,symbol,token
ADANIENT,ADANIENT-EQ,25
ADANIPORTS,ADANIPORTS-EQ,15083
APOLLOHOSP,APOLLOHOSP-EQ,157
ASIANPAINT,ASIANPAINT-EQ,236
AXISBANK,AXISBANK-EQ,5900
BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669
BAJFINANCE,BAJFINANCE-EQ,317
BAJAJFINSV,BAJAJFINSV-EQ,16675
BPCL,BPCL-EQ,526
BHARTIARTL,BHARTIARTL-EQ,10604
BRITANNIA,BRITANNIA-EQ,547
CIPLA,CIPLA-EQ,694
COALINDIA,COALINDIA-EQ,20374
DIVISLAB,DIVISLAB-EQ,10940
DRREDDY,DRREDDY-EQ,881
EICHERMOT,EICHERMOT-EQ,910
GRASIM,GRASIM-EQ,1232
HCLTECH,HCLTECH-EQ,7229
HDFCBANK,HDFCBANK-EQ,1333
HDFCLIFE,HDFCLIFE-EQ,467
HEROMOTOCO,HEROMOTOCO-EQ,1348
HINDALCO,HINDALCO-EQ,1363
HINDUNILVR,HINDUNILVR-EQ,1394
ICICIBANK,ICICIBANK-EQ,4963
ITC,ITC-EQ,1660
INDUSINDBK,INDUSINDBK-EQ,5258
INFY,INFY-EQ,1594
JSWSTEEL,JSWSTEEL-EQ,11723
KOTAKBANK,KOTAKBANK-EQ,1922
LTIM,LTIM-EQ,17818
LT,LT-EQ,11483
M&M,M&M-EQ,2031
MARUTI,MARUTI-EQ,10999
NTPC,NTPC-EQ,11630
NESTLEIND,NESTLEIND-EQ,17963
ONGC,ONGC-EQ,2475
POWERGRID,POWERGRID-EQ,14977
RELIANCE,RELIANCE-EQ,2885
SBILIFE,SBILIFE-EQ,21808
SHRIRAMFIN,SHRIRAMFIN-EQ,4306
SBIN,SBIN-EQ,3045
SUNPHARMA,SUNPHARMA-EQ,3351
TCS,TCS-EQ,11536
TATACONSUM,TATACONSUM-EQ,3432
TATAMOTORS,TATAMOTORS-EQ,3456
TATASTEEL,TATASTEEL-EQ,3499
TECHM,TECHM-EQ,13538
TITAN,TITAN-EQ,3506
ULTRACEMCO,ULTRACEMCO-EQ,11532
WIPRO,WIPRO-EQ,3787
ABB,ABB-EQ,13
ADANIENSOL,ADANIENSOL-EQ,10217
ADANIGREEN,ADANIGREEN-EQ,3563
ADANIPOWER,ADANIPOWER-EQ,17388
ATGL,ATGL-EQ,6066
AMBUJACEM,AMBUJACEM-EQ,1270
DMART,DMART-EQ,19913
BAJAJHLDNG,BAJAJHLDNG-EQ,305
BANKBARODA,BANKBARODA-EQ,4668
BERGEPAINT,BERGEPAINT-EQ,404
BEL,BEL-EQ,383
BOSCHLTD,BOSCHLTD-EQ,2181
CANBK,CANBK-EQ,10794
CHOLAFIN,CHOLAFIN-EQ,685
COLPAL,COLPAL-EQ,15141
DLF,DLF-EQ,14732
DABUR,DABUR-EQ,772
GAIL,GAIL-EQ,4717
GODREJCP,GODREJCP-EQ,10099
HAVELLS,HAVELLS-EQ,9819
HAL,HAL-EQ,2303
ICICIGI,ICICIGI-EQ,21770
ICICIPRULI,ICICIPRULI-EQ,18652
IOC,IOC-EQ,1624
IRCTC,IRCTC-EQ,13611
IRFC,IRFC-EQ,2029
NAUKRI,NAUKRI-EQ,13751
INDIGO,INDIGO-EQ,11195
JINDALSTEL,JINDALSTEL-EQ,6733
JIOFIN,JIOFIN-EQ,18143
LICI,LICI-EQ,9480
MARICO,MARICO-EQ,4067
PIDILITIND,PIDILITIND-EQ,2664
PFC,PFC-EQ,14299
PNB,PNB-EQ,10666
RECLTD,RECLTD-EQ,15355
SBICARD,SBICARD-EQ,17971
SRF,SRF-EQ,3273
MOTHERSON,MOTHERSON-EQ,4204
SHREECEM,SHREECEM-EQ,3103
SIEMENS,SIEMENS-EQ,3150
TVSMOTOR,TVSMOTOR-EQ,8479
TATAMTRDVR,TATAMTRDVR-EQ,16965
TATAPOWER,TATAPOWER-EQ,3426
TORNTPHARM,TORNTPHARM-EQ,3518
TRENT,TRENT-EQ,1964
VBL,VBL-EQ,18921
VEDL,VEDL-EQ,3063
ZOMATO,ZOMATO-EQ,5097
ZYDUSLIFE,ZYDUSLIFE-EQ,7929
ACC,ACC-EQ,22
AUBANK,AUBANK-EQ,21238
ABCAPITAL,ABCAPITAL-EQ,21614
ALKEM,ALKEM-EQ,11703
ASHOKLEY,ASHOKLEY-EQ,212
ASTRAL,ASTRAL-EQ,14418
AUROPHARMA,AUROPHARMA-EQ,275
BALKRISIND,BALKRISIND-EQ,335
BANDHANBNK,BANDHANBNK-EQ,2263
BHARATFORG,BHARATFORG-EQ,422
BHEL,BHEL-EQ,438
COFORGE,COFORGE-EQ,11543
CONCOR,CONCOR-EQ,4749
CUMMINSIND,CUMMINSIND-EQ,1901
DALBHARAT,DALBHARAT-EQ,8075
DIXON,DIXON-EQ,21690
ESCORTS,ESCORTS-EQ,958
FEDERALBNK,FEDERALBNK-EQ,1023
GMRINFRA,GMRINFRA-EQ,13528
GODREJPROP,GODREJPROP-EQ,17875
GUJGASLTD,GUJGASLTD-EQ,10599
HDFCAMC,HDFCAMC-EQ,4244
HINDPETRO,HINDPETRO-EQ,1406
IDFCFIRSTB,IDFCFIRSTB-EQ,11184
INDHOTEL,INDHOTEL-EQ,1512
INDUSTOWER,INDUSTOWER-EQ,29135
JUBLFOOD,JUBLFOOD-EQ,18096
LTF,LTF-EQ,24948
LTTS,LTTS-EQ,18564
LUPIN,LUPIN-EQ,10440
MRF,MRF-EQ,2277
M&MFIN,M&MFIN-EQ,13285
MFSL,MFSL-EQ,2142
MAXHEALTH,MAXHEALTH-EQ,22377
MPHASIS,MPHASIS-EQ,4503
NMDC,NMDC-EQ,15332
OBEROIRLTY,OBEROIRLTY-EQ,20242
OFSS,OFSS-EQ,10738
PIIND,PIIND-EQ,24184
PAGEIND,PAGEIND-EQ,14413
PERSISTENT,PERSISTENT-EQ,18365
PETRONET,PETRONET-EQ,11351
POLYCAB,POLYCAB-EQ,9590
SAIL,SAIL-EQ,2963
SUZLON,SUZLON-EQ,12018
TATACOMM,TATACOMM-EQ,3721
TIINDIA,TIINDIA-EQ,312
UPL,UPL-EQ,11287
IDEA,IDEA-EQ,14366
YESBANK,YESBANK-EQ,11915
